family,scope,seed,head,head_label,pr_auc,exact_f1,tolerated_f1,union_f1,selected_threshold,selected_variant
ClimaX,fire_prone,99,constant,constant prior head,0.02093558282208589,0.04101254412979794,0.4373876572798083,0.5055297690676752,0.0002,identity
ClimaX,fire_prone,99,linear,linear probe,0.022833179567809177,0.04101254412979794,0.4373876572798083,0.5055297690676752,0.0002,identity
ClimaX,fire_prone,99,pixel_mlp,pixel MLP head,0.022646774099231107,0.04101254412979794,0.4373876572798083,0.5055297690676752,0.0002,identity
ClimaX,fire_prone,99,shallow,shallow spatial adapter,0.022799446422578955,0.04101254412979794,0.4373876572798083,0.5055297690676752,0.0002,identity
ClimaX,fire_prone,99,shallow_wide,wide shallow adapter,0.022669770759478167,0.04101254412979794,0.4373876572798083,0.5055297690676752,0.0002,identity
Pangu24,global,1,constant,constant prior head,0.00024254792826221397,0.00048497822606044473,0.07403151298938895,0.11250100970106779,0.0002,identity
Pangu24,global,1,linear,linear probe,0.00019429226041004752,0.00022117838078781877,0.07594939081536527,0.11325952992404405,0.001,identity
Pangu24,global,1,pixel_mlp,pixel MLP head,0.0002666895357120614,0.0,0.0,0.0,0.05,identity
Pangu24,global,1,shallow,shallow spatial adapter,0.0003184083932332734,0.0005003009842356716,0.07628187002214996,0.11582502914978784,0.0002,erode_r1
Pangu24,global,1,shallow_wide,wide shallow adapter,0.00020397478136797097,0.00048497822606044473,0.07403151298938895,0.11250100970106779,0.0002,identity
Pangu24,fire_prone,1,constant,constant prior head,0.02093558282208589,0.04101254412979794,0.4373876572798083,0.5055297690676752,0.0002,identity
Pangu24,fire_prone,1,linear,linear probe,0.01512807606029424,0.04101254412979794,0.4373876572798083,0.5055297690676752,5e-05,identity
Pangu24,fire_prone,1,pixel_mlp,pixel MLP head,0.03203554583048163,0.0,0.0,0.0,0.05,identity
Pangu24,fire_prone,1,shallow,shallow spatial adapter,0.03620535978423278,0.04101254412979794,0.4373876572798083,0.5055297690676752,0.0002,identity
Pangu24,fire_prone,1,shallow_wide,wide shallow adapter,0.014857496764617905,0.04101254412979794,0.4373876572798083,0.5055297690676752,0.0002,identity
Pangu24,global,123,constant,constant prior head,0.00024254792826221397,0.00048497822606044473,0.07403151298938895,0.11250100970106779,0.0002,identity
Pangu24,global,123,linear,linear probe,0.00030362489732168577,0.0004906811451557308,0.07404704967215618,0.11251502076227543,1e-05,identity
Pangu24,global,123,pixel_mlp,pixel MLP head,0.00026059484596910705,0.0,0.0,0.0,0.05,identity
Pangu24,global,123,shallow,shallow spatial adapter,0.0003305717410630794,0.000496636685698497,0.0757441929842007,0.11502529563301157,0.0002,erode_r1
